项目工程,项目类型,建筑面积,建筑高度,工程造价,建设地点,合作单位,设计时间,获奖名称
上海中心大厦,城市综合体,41.1622 万平方米,632 米,907695 万元,上海市,GENSLER,2008,2019年度行业优秀勘察设计奖 优秀（公共）建筑设计 一等奖
范曾艺术馆,博物馆,0.67 万平方米,22.8 米,5368 万元,江苏省,/,2010,2015年度全国优秀工程勘察设计奖建筑工程一等奖
西安丝路国际会议中心,展览馆,12.8369 万平方米,51.05 米,350614 万元,陕西省,GMP,2017,2021年度行业优秀勘察设计奖 建筑设计 一等奖
上海当代艺术博物馆,博物馆,4.1 万平方米,49.8 米,37809 万元,上海市,/,2011,2019年度行业优秀勘察设计奖 优秀（公共）建筑设计 二等奖
西藏日喀则桑珠孜宗堡,博物馆,0.8326 万平方米,18 米,8000 万元,西藏自治区,/,2004,2011年度全国优秀工程勘察设计行业奖建筑工程一等奖
援非盟会议中心,行政办公,4.9537 万平方米,99.9 米,70167 万元,非洲,/,2007,2013年度全国优秀工程勘察设计行业奖建筑工程一等奖
上海世博展览馆,展览馆,8.082 万平方米,23.5 米,88399.9 万元,上海市,/,2007,2011年度全国优秀工程勘察设计行业奖建筑工程一等奖
如东县体育中心,体育中心,2.991 万平方米,27 米,30576 万元,江苏省,/,2016,2020年度上海市优秀工程勘察设计奖优秀建筑工程设计二等奖
天安金融中心,机构办公,4.458 万平方米,79.99 米,58789.99 万元,上海市,/,2015,2021年度上海市优秀工程勘察设计奖优秀建筑工程设计三等奖
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,, ,,
